Entity,TimeWindow,period_start,period_end,period_midpoint,count_docs_total_after_deduplication,count_attributable_docs_nonzero_unep,SP3_1_Ci_t_UNEP,extent_of_unep_attributed_sp3_1_evidence,max_document_contribution_sd,sum_document_contribution_sd,evidence_of_unep_attributed_sp3_1_policy_regulatory_action,best_evidence_title,best_evidence_link,best_evidence_query,best_evidence_textfile,best_evidence_instrument_type,best_evidence_action_stage,best_evidence_level,best_evidence_sector,best_evidence_chemicals_justification,best_evidence_unep_justification,best_evidence_phrases
Brazil,2018-2022,2018,2022,2020,67,0,0.0,no evidence,0.0,0.0,False,Solid waste management in the context of the waste hierarchy ...,https://academic.oup.com/ieam/article/20/1/9/7725080,UNEP programme Brazil key sectors pollution prevention launched policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,academic_oup_com_Solid_waste_management_in_the_context_of_the_waste.txt,none,none,global,none,"The document does not contain explicit evidence related to circular approaches/circular economy, chemicals management, waste management, pollution prevention/control, or policies/laws/regulations in key sectors for Brazil during 2018–2022.","There is no explicit link between UNEP and any policy, law, regulation, strategy, action plan, or official framework in Brazil during 2018–2022.","[""No relevant evidence found.""]"
Brazil,2022-2026,2022,2026,2024,69,0,0.0,no evidence,0.0,0.0,False,SANITATION AND WASTEWATER ATLAS OF AFRICA,https://afwasakm.afwasa.org/wp-content/uploads/2024/12/sanitation_and_wastewater_atlas_of_africa_compressed.pdf,in partnership with UNEP Brazil lead paint regulation promulgated policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2022-01-01 before:2026-01-01,afwasakm_afwasa_org_SANITATION_AND_WASTEWATER_ATLAS_OF_AFRICA.txt,none,none,unclear,unclear,The document does not contain any information about Brazil or the time window 2022-2026.,The document does not contain any information about Brazil or the time window 2022-2026.,[]
Ghana,2018-2022,2018,2022,2020,44,1,37.21,low evidence,37.21,37.21,True,Integrated Waste Management in Africa,https://www.switchtogreen.eu/wp-content/uploads/2021/02/Integrated-Waste-Management-in-Africa-Focus-on-Circularity-.pdf,UNEP assisted Ghana e-waste regulation endorsed policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,www_switchtogreen_eu_Integrated_Waste_Management_in_Africa.txt,waste management policy / strategy,implementing,national,waste,"The document discusses Ghana's efforts in integrated waste management, including e-waste recycling and the implementation of the SWITCH Africa Green programme.","The document explicitly mentions UNEP's support for the SWITCH Africa Green programme, which includes the implementation of waste management projects in Ghana.","[""The SWITCH Africa Green programme is funded by the EU to support governments and the private sector in African countries (Burkina Faso, Ghana, Kenya, Mauritius, South Africa, and Uganda) in the transition to an inclusive green economy (IGE)."", ""The programme is implemented by the UNEP in collaboration with the UNDP and UNOPS."", ""In Ghana, 20,000 tonnes of e-waste were recycled, benefiting directly and indirectly about 2,100 Ghanaians living in Accra, and in Mauritius, 2,677 tons of the waste was diverted annually from landfills and used locally as raw materials in the IS subsector.""]"
Ghana,2022-2026,2022,2026,2024,55,0,0.0,no evidence,0.0,0.0,False,Circular Economy Action Plan and Roadmap in Ghana,https://africacircular.org/circular-economy-action-plan-and-roadmap-in-ghana/,UNEP supported Ghana circular economy strategy passed policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2022-01-01 before:2026-01-01,africacircular_org_Circular_Economy_Action_Plan_and_Roadmap_in_Ghana.txt,circular economy policy,developed,national,cross-sectoral,"The document describes the development of a national Circular Economy Action Plan (CEAP) for Ghana, which outlines goals and actions to advance the circular economy in various sectors.","There is no explicit mention of UNEP's involvement in the development, adoption, revision, or implementation of the CEAP in Ghana.","[""In collaboration with the Government of Ghana, through the Ministry of Environment, Science, Technology and Innovation (MESTI), and the European Union Delegation in Ghana a national Circular Economy Action Plan (CEAP) has been developed."", ""The CEAP outlines clear goals and actions to advance the circular economy in Ghana; first for each sector chosen and then for cross-cutting elements such as capacity building and gender equality.""]"
Kenya,2018-2022,2018,2022,2020,62,0,0.0,no evidence,0.0,0.0,False,Safeguarding-the-Environment-through-Effective-Pollution- ...,http://kmco.co.ke/wp-content/uploads/2019/09/Safeguarding-the-Environment-through-Effective-Pollution-Control-in-Kenya-Kariuki-Muigua-28th-SEPT-2019.pdf,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,kmco_co_ke_Safeguarding_the_Environment_through_Effective_Pol.txt,none,none,unclear,unclear,"No relevant information found about Kenya's policies, laws, or regulations related to circular economy, chemicals management, waste management, or pollution prevention and control between 2018 and 2022.","No explicit link to UNEP found in relation to Kenya's policies, laws, or regulations on circular economy, chemicals management, waste management, or pollution prevention and control between 2018 and 2022.",[]
Kenya,2022-2026,2022,2026,2024,67,0,0.0,no evidence,0.0,0.0,False,Reducing Plastic Pollution in Kenya,https://asiafoundation.org/wp-content/uploads/2023/12/Philippines_Reducing-Plastic-Pollution-in-Kenya.pdf,UNEP facilitated Kenya single-use plastics regulation adopting policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2022-01-01 before:2026-01-01,asiafoundation_org_Reducing_Plastic_Pollution_in_Kenya.txt,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Lebanon,2018-2022,2018,2022,2020,52,0,0.0,no evidence,0.0,0.0,False,Liberia environmental profile,http://ekmsliberia.info/wp-content/uploads/2021/09/cep_liberia_2006_.pdf,UNEP programme Lebanon hazardous waste regulation revising policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,ekmsliberia_info_Liberia_environmental_profile.txt,none,none,unclear,unclear,The document is not about Lebanon and/or not about the time window 2018-2022.,The document is not about Lebanon and/or not about the time window 2018-2022.,[]
Lebanon,2022-2026,2022,2026,2024,61,0,0.0,no evidence,0.0,0.0,False,circular-economy - Sustainable developments Goals - UNEP,http://sdgs.unep.org/article/circular-economy,UNEP capacity building Lebanon e-waste regulation promulgated policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2022-01-01 before:2026-01-01,sdgs_unep_org_circular_economy_Sustainable_developments_Goals_UN.txt,none,none,global,unclear,"The document does not contain explicit evidence related to circular approaches/circular economy, chemicals management, waste management, pollution prevention and control, or policies/laws/regulations in key sectors for Lebanon during 2022–2026.","The document does not explicitly link UNEP to development/adoption/revision/implementation/strengthening of any policy, law, regulation, strategy, action plan, or official framework in Lebanon during 2022–2026.",[]
Rwanda,2018-2022,2018,2022,2020,59,0,0.0,no evidence,0.0,0.0,False,Solid waste management in the context of the waste hierarchy ...,https://academic.oup.com/ieam/article/20/1/9/7725080,UNEP facilitated Rwanda industrial pollution regulation developed policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,academic_oup_com_Solid_waste_management_in_the_context_of_the_waste.txt,none,none,global,unclear,"The document does not contain explicit evidence related to circular approaches/circular economy, chemicals management, waste management, pollution prevention/control, or policies/laws/regulations in key sectors for Rwanda during 2018-2022.","There is no explicit link between UNEP and any policy, law, regulation, strategy, action plan, or official framework in Rwanda during 2018-2022.",[]
Rwanda,2022-2026,2022,2026,2024,67,1,48.0,moderate evidence,48.0,48.0,True,the world takes major step to end plastic pollution,https://www.rema.gov.rw/fileadmin/user_upload/REMA/Newsletters/REMA_Quarterly_Newsletter_January-March_2022.pdf,with UNEP support Rwanda pollution prevention and control policy adopted policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2022-01-01 before:2026-01-01,www_rema_gov_rw_the_world_takes_major_step_to_end_plastic_pollutio.txt,plastic pollution policy / air pollution regulation / circular economy initiative,developed / implemented / launched,national,environment / health / transport,"The document provides evidence of Rwanda's efforts to address plastic pollution, air pollution, and promote a circular economy. Rwanda has banned single-use plastic bags and implemented a law to phase out single-use plastics. The country is also part of the negotiations for an international legally binding agreement on plastic pollution.","The document mentions UNEP's involvement in supporting Rwanda's environmental initiatives, such as the development of a National Cooling Strategy and the implementation of the Kigali Amendment. UNEP is also credited with providing leadership in the creation of the Montreal Protocol and the development of a treaty to end plastic pollution.","[""Rwanda has built a nationwide monitoring system that provides real-time data on the quality of the air at twenty-three sites across the country."", ""The Rwanda Environment Management Authority (REMA) Launches R-COOL GO - An affordable opportunity to own energy-saving cooling appliances."", ""The Green Amayaga Project aims to increase forest cover in the region."", ""Rwanda, joined with Peru to lead negotiations on a draft resolution that will pave the way for an international legally binding agreement on marine litter and plastic pollution.""]"
