Entity,TimeWindow,period_start,period_end,period_midpoint,count_docs_total_after_deduplication,count_attributable_docs_nonzero_unep,SP2_1_Ci_t_UNEP,extent_of_unep_attributed_sp2_1_evidence,max_document_contribution_sd,sum_document_contribution_sd,evidence_of_unep_attributed_sp2_1_strengthening,best_evidence_title,best_evidence_link,best_evidence_query,best_evidence_textfile,best_evidence_type,best_evidence_action_stage,best_evidence_level,best_evidence_nature_justification,best_evidence_unep_justification,best_evidence_phrases
Brazil,2018-2022,2018,2022,2020,73,1,64.0,strong evidence,64.0,64.0,True,Megadiverse Brazil: giving biodiversity an online boost,https://www.unep.org/news-and-stories/story/megadiverse-brazil-giving-biodiversity-online-boost,supported by UNEP Brazil legal instrument biodiversity approved policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,www_unep_org_Megadiverse_Brazil_giving_biodiversity_an_online_b.txt,institutional framework,developed,national,"The document describes the development of the Brazilian Biodiversity Information System, which is a comprehensive resource on national biodiversity, bringing together data and information from over 230 institutions.","The document explicitly mentions that UN Environment supported the initiative to create the Brazilian Biodiversity Information System, and quotes the UN Environment Representative in Brazil.","[""With support from UN Environment and the Global Environment Facility, an initiative of Brazil’s Ministry of Science, Technology, Innovation and Communications has been working to change this scenario, creating Brazil’s most comprehensive resource on national biodiversity."", ""The implementation of the Brazilian Biodiversity Information System is an important step towards the dissemination of biological data in the country, both for academic research and environmental management,” Denise Hamú, UN Environment Representative in Brazil says.""]"
Brazil,2022-2026,2022,2026,2024,65,3,58.67,moderate evidence,64.0,176.0,True,United Nations Environment Programme Finance Initiative ...,https://www.linkedin.com/posts/united-nations-environment-programme-finance-initiative_the-brazilian-sustainable-taxonomy-is-advancing-activity-7270844904992378881-6NSp,United Nations Environment Programme supported Brazil legal instrument biodiversity approved policy framework law regulation strategy action plan after:2022-01-01 before:2026-01-01,www_linkedin_com_United_Nations_Environment_Programme_Finance_Initi.txt,policy instrument,developed,national,"The Brazilian Sustainable Taxonomy (BST) is being developed with the support of UNEP FI, indicating a clear effort to strengthen policy instruments for sustainable development in Brazil.","UNEP FI is explicitly mentioned as supporting the development of the Brazilian Sustainable Taxonomy, indicating a clear link between UNEP and the development of this policy instrument.","[""The Brazilian Sustainable Taxonomy (BST) is led by the Ministry of Finance (Ministério da Fazenda) through the Undersecretariat for Sustainable Economic Development (SDES)."", ""The BST is supported by UNEP FI and Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH with resources from the European Union's Euroclima Regional Programme and Sustainable Finance Advisory Hub, and from Germany's Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ) as part of the Sustainable Brazilian Finance (FiBraS II).""]"
Ghana,2018-2022,2018,2022,2020,56,2,56.0,moderate evidence,64.0,112.0,True,"In Western Africa, a push for eco-friendly appliances",https://www.unep.org/news-and-stories/story/western-africa-push-eco-friendly-appliances,in partnership with UNEP Ghana ecosystem restoration strategy adopted policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,www_unep_org_In_Western_Africa_a_push_for_eco_friendly_applianc.txt,policy instrument / positive incentive,developed / implemented,national,"The document describes the ECOWAS Refrigerators and Air Conditioners Initiative (ECOFRIDGES) launched in Ghana in October 2020, which aims to make energy-efficient fridges and air conditioners affordable to consumers and combat the dumping of energy-inefficient products in Africa. This initiative includes policy instruments and positive incentives such as interest-free loans and trade-in programs for old appliances.","The document explicitly mentions that the United Nations Environment Programme (UNEP) supports the ECOFRIDGES initiative, providing financing and technical assistance. UNEP's Programme Management Officer is quoted, and UNEP's United for Efficiency (U4E) initiative is leading the effort to make energy-efficient appliances affordable and accessible in Ghana and Senegal.","[""The ECOWAS Refrigerators and Air Conditioners Initiative (ECOFRIDGES) was launched in Ghana in October 2020, with Senegal following shortly after."", ""With a grant from the Clean Cooling Collaborative, UNEP and the Basel Agency for Sustainable Energy are partnering with government agencies, local banks and vendors to offer interest-free loans to ensure that wage earners can purchase the most energy efficient and climate-friendly fridges and air conditioners."", ""UNEP-led Cool Coalition recently produced a policy brief to underscore the challenges and opportunities of cooling devices in Africa."", ""United for Energy Efficiency (U4E) is a global effort supporting developing countries and emerging economies to move their markets to energy-efficient appliances and equipment. Under the leadership of the United Nations Environment Programme (UNEP), U4E brings together all key stakeholders in the area of product efficiency to inform policymakers, promote global best practices and provide tailored assistance to governments.""]"
Ghana,2022-2026,2022,2026,2024,62,2,64.0,strong evidence,64.0,128.0,True,Ghana unveils $20bn plan to strengthen climate adaptation ...,https://www.facebook.com/Diamond93.7/posts/ghana-unveils-20bn-plan-to-strengthen-climate-adaptationghana-has-officially-lau/1475635417896294/,UNEP provided technical assistance Ghana land restoration policy adopted policy framework law regulation strategy action plan after:2022-01-01 before:2026-01-01,www_facebook_com_Ghana_unveils_20bn_plan_to_strengthen_climate_adap.txt,policy instrument,developed,national,"The document mentions Ghana's National Adaptation Plan (NAP) which is a policy instrument for climate change adaptation and resilience, developed with support from UNEP.",UNEP is explicitly mentioned as the delivery partner in the development of Ghana's National Adaptation Plan (NAP).,"[""Ghana unveils $20bn plan to strengthen climate adaptation"", ""Developed by the Environmental Protection Authority (EPA) under the Ministry of Environment, Science and Technology, the NAP was created with support from the Green Climate Fund (GCF) and the United Nations Environment Programme (UNEP) as the delivery partner.""]"
Kenya,2018-2022,2018,2022,2020,56,0,0.0,no evidence,0.0,0.0,False,Fostering the Principles of Natural Resources Management ...,http://kmco.co.ke/wp-content/uploads/2019/01/Fostering-the-Principles-of-Natural-Resources-Management-in-Kenya-Kariuki-Muigua-9th-january-2019.pdf,with UNEP support Kenya inclusive biodiversity management adopted policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,kmco_co_ke_Fostering_the_Principles_of_Natural_Resources_Mana.txt,policy instrument / legal instrument,developed / strengthened,national,"The document discusses the principles of natural resource management in Kenya, including sustainable development, sustainable use, polluter pays principle, and public participation. It highlights the constitutional and legal framework for environmental protection in Kenya, including the Constitution of Kenya, 2010, and various environmental laws and policies.",There is no explicit mention of UNEP's role or support in strengthening or developing the nature-related frameworks or instruments in Kenya.,"[""The Constitution of Kenya, 2010 and in various international environmental instruments."", ""The Environmental Management and Co-ordination Act, 1999 (EMCA) defines sustainable development"", ""The polluter pays principle provides that the costs of pollution should be borne by the person responsible for causing the pollution."", ""Public participation is a key aspect of natural resources management"", ""The prevention principle aims at averting damage to the environment before it actually occurs.""]"
Kenya,2022-2026,2022,2026,2024,54,3,64.27,strong evidence,64.8,192.8,True,Sustainable FLR Financing,https://www.therestorationinitiative.org/wp-content/uploads/2024/12/PB4_Sustainable-FLR-financing_final_compressed.pdf,UNEP programme Kenya ecosystem restoration strategy adopted policy framework law regulation strategy action plan after:2022-01-01 before:2026-01-01,www_therestorationinitiative_org_Sustainable_FLR_Financing.txt,policy instrument / positive incentive,developed / strengthened / implemented,national,"The document provides evidence of strengthened institutional and operational frameworks, policy and legal instruments, and positive incentives for sustainable and inclusive management of biodiversity and land in Kenya during 2022-2026.","The document explicitly links UNEP to strengthening, developing, adopting, implementing, revising, approving, establishing, or operationalizing the nature-related framework/instrument/incentive in Kenya during 2022-2026.","[""The Restoration Initiative (TRI) has united nine countries and three leading institutions (IUCN, FAO, and UNEP) to implement 10 projects across Africa and Asia."", ""TRI is an outstanding example of large-scale ecosystem restoration that quickly aligned with the global restoration movement led by the UN Decade, as it integrates both UN Decade and FLR principles to restore, enhance, and sustain essential ecological and social functions in priority degraded and deforested landscapes."", ""In Kenya ASAL, TRI leveraged readiness investments to establish seven bankable projects focused on sustainable grazing, honey production, and agroforestry."", ""The Restoration Factory, as explained in detail below, plays a pivotal role by empowering entrepreneurs to develop viable, forest-based businesses and bridging the gap between restoration objectives and long-term financing models."", ""UNEP, FAO, IUCN, Society for Ecological Restoration (SER). (2021). Principles for Ecosystem Restoration to Guide the United Nations Decade 2021-2030.""]"
Lebanon,2018-2022,2018,2022,2020,63,4,44.4,moderate evidence,65.61,177.61,True,Barcelona Convention for the Protection of ...,https://archive.iwlearn.net/internationalwatersgovernance.com/barcelona-convention-for-the-protection-of-the-mediterranean-sea-against-pollution.html,with UNEP support Lebanon ecosystem degradation prevention implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,archive_iwlearn_net_Barcelona_Convention_for_the_Protection_of_.txt,international framework / policy instrument,developed / strengthened / amended,international,"The document provides detailed information about the Barcelona Convention for the Protection of the Mediterranean Sea Against Pollution, which Lebanon is a party to. The Convention has been amended and strengthened over the years, with UNEP playing a significant role in its development and implementation.","UNEP is explicitly mentioned as the Secretariat of the Barcelona Convention, and it has played a significant role in the development and implementation of the Convention and its Protocols. UNEP's Mediterranean Action Plan (MAP) Coordinating Unit is based in Athens, Greece, and UNEP has provided technical assistance and support to the Contracting Parties.","[""The Barcelona Convention was born out of an intergovernmental congress initiated by the United Nations Environment Program (“UNEP”) in 1975."", ""The UNEP acts through the Mediterranean Action Plan Coordinating Unit, based in Athens, Greece."", ""The functions of the Barcelona Convention structure, which includes the Protocols, are described in the MAP II. These include: integration of environmental priorities and economic development in national policy; assessment, prevention, and elimination of pollution; conservation of nature, landscapes and sites of ecological or cultural value; and broadening both public awareness of threats to the Mediterranean and public participation in conservation and remedial measures.""]"
Lebanon,2022-2026,2022,2026,2024,52,3,58.67,moderate evidence,64.0,176.0,True,Breathing new life into Lebanon's parched rangelands,https://www.unep.org/news-and-stories/story/breathing-new-life-lebanons-parched-rangelands,UNEP implemented Lebanon ecosystem restoration strategy adopted policy framework law regulation strategy action plan after:2022-01-01 before:2026-01-01,www_unep_org_Breathing_new_life_into_Lebanon_s_parched_rangelan.txt,operational framework / positive incentive / inclusive participation mechanism,developed / implemented,national,"The document describes a specific project, 'Shade for Life', implemented in Lebanon's Beqaa Valley, which aims to restore landscapes and ecosystems, improve and conserve vital ecosystems, and help shepherds and their livestock. The project involves planting native tree species, forage species, and engaging local communities and shepherds in the planning and implementation process.","The document explicitly mentions UNEP's involvement in the 'Shade for Life' project, including funding and partnership with the Lebanon Reforestation Initiative. UNEP is also mentioned as leading the UN Decade on Ecosystem Restoration.","[""In 2021, the United Nations Environment Programme (UNEP), in partnership with the Lebanon Reforestation Initiative, worked with local municipalities to launch an innovative pilot project called 'Shade for Life' in the villages of Mdoukha and Khirbet Rouha in Rashaya district in the Beqaa Valley."", ""The project has focused on planting clusters of up to 150 large trees, including oak, fig, and wild almond trees as well as forage species that support water infiltration and sustain long-term grazing."", ""The Shade for Life project is funded under the UN Decade on Ecosystem Restoration led by UNEP and the Food and Agriculture Organization of the United Nations (FAO) to halt the degradation of ecosystems and enhance people’s livelihoods, counteract climate change, and stop the collapse of biodiversity."", ""“This project adopted a participatory approach that engaged the shepherds, the local authorities and civil society organizations,” said Sami Dimassi, UNEP Representative and Regional Director for West Asia.""]"
Rwanda,2018-2022,2018,2022,2020,12,1,24.0,low evidence,24.0,24.0,True,UN Environment collaborates with Rwanda and Gambia to ...,https://www.unep.org/news-and-stories/story/un-environment-collaborates-rwanda-and-gambia-build-capacity-national,UNEP implemented Rwanda biodiversity action plan strengthened policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,www_unep_org_UN_Environment_collaborates_with_Rwanda_and_Gambia.txt,capacity building,developed,national,"The document mentions collaboration between UN Environment and the Government of Rwanda to develop a case study for national implementation of global environmental conventions, which includes enhancing capacity for national implementation.","The document explicitly mentions UN Environment's collaboration with Rwanda to build capacity for national implementation of global environmental conventions, indicating a clear involvement of UNEP in the process.","[""UN Environment collaborates with Rwanda and Gambia to build capacity for national implementation of global environmental conventions"", ""UN Environment and governments have shown that there is demand for improved reporting, relevant analysis, and capacity building to facilitate implementation""]"
Rwanda,2022-2026,2022,2026,2024,60,1,72.0,strong evidence,72.0,72.0,True,Rwanda unveils National Biodiversity Strategy and Action ...,https://www.rema.gov.rw/updates/news-details/rwanda-unveils-national-biodiversity-strategy-and-action-plan-nbsap-2025-2030,in collaboration with UNEP Rwanda biodiversity policy legal framework established policy framework law regulation strategy action plan after:2022-01-01 before:2026-01-01,www_rema_gov_rw_Rwanda_unveils_National_Biodiversity_Strategy_and_.txt,policy instrument,developed,national,"The document provides clear evidence of Rwanda developing and launching the National Biodiversity Strategy and Action Plan (NBSAP 2025–2030), which serves as a national roadmap for biodiversity protection and sustainable development.","The document explicitly mentions that the NBSAP was developed with support from UNEP, indicating a clear link between UNEP and the development of the strategy.","[""The Government of Rwanda has on October 7, 2025 officially launched the National Biodiversity Strategy and Action Plan (NBSAP 2025–2030)"", ""The NBSAP was developed through broad stakeholder engagement with support from the Global Environment Facility (GEF), and UNEP"", ""The strategy aligns national actions with Rwanda’s Vision 2050, the Green Growth and Climate Resilience Strategy, and the National Strategy for Transformation (NST2) — ensuring that economic growth and ecological health go hand in hand.""]"
